tag_id,tag_offset,tag_name,tag_wiki_post_id,question_view_count_rank,total_valid_questions,id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
53233,0,android-layout,5872748,1,15233,12128331,How to change fontFamily of TextView in Android,"<p>So I'd like to change the <code>android:fontFamily</code> in Android but I don't see any pre-defined fonts in Android. How do I select one of the pre-defined ones? I don't really need to define my own TypeFace but all I need is something different from what it shows right now.</p>

<pre><code>&lt;TextView
    android:id=""@+id/HeaderText""
    android:layout_width=""wrap_content""
    android:layout_height=""wrap_content""
    android:layout_alignParentTop=""true""
    android:layout_centerHorizontal=""true""
    android:layout_marginTop=""52dp""
    android:gravity=""center""
    android:text=""CallerBlocker""
    android:textSize=""40dp""
    android:fontFamily=""Arial""
 /&gt;
</code></pre>

<p>It seems what I did up there won't really work! BTW <code>android:fontFamily=""Arial""</code> was a stupid attempt!</p>",13329907,37,1,,2012-08-26T07:19:17.997Z,445,2020-09-20T17:59:01.890Z,2016-08-02T03:19:54.597Z,,5754623,,44852,,1,789,android|android-layout|textview|typeface,910351
53233,0,android-layout,5872748,2,15233,9294603,How do I get the currently displayed fragment?,"<p>I am playing with fragments in Android.</p>

<p>I know I can change a fragment by using the following code:</p>

<pre><code>FragmentManager fragMgr = getSupportFragmentManager();
FragmentTransaction fragTrans = fragMgr.beginTransaction();

MyFragment myFragment = new MyFragment(); //my custom fragment

fragTrans.replace(android.R.id.content, myFragment);
fragTrans.addToBackStack(null);
fragTrans.setTransition(FragmentTransaction.TRANSIT_FRAGMENT_FADE);
fragTrans.commit();
</code></pre>

<p>My question is, in a Java file, how can I get the currently displayed Fragment instance?</p>",,53,2,,2012-02-15T13:49:02.730Z,112,2021-06-16T12:08:44.967Z,2018-12-18T13:33:55.417Z,,3924118,,959734,,1,493,android|android-layout|android-intent|android-fragments,507009
53233,0,android-layout,5872748,3,15233,16694786,How to customize a Spinner in Android,"<p>I want to add a custom height to the dropdown of a <code>Spinner</code>, say 30dp, and I want to hide the dividers of the dropdown list of <code>Spinner</code>.</p>

<p>So far I tried to implement following style to the <code>Spinner</code>:</p>

<pre><code>&lt;style name=""spinner_style""&gt;
        &lt;item name=""android:paddingLeft""&gt;0dp&lt;/item&gt;
        &lt;item name=""android:dropDownWidth""&gt;533dp&lt;/item&gt;
        &lt;item name=""android:showDividers""&gt;none&lt;/item&gt;
        &lt;item name=""android:dividerHeight""&gt;0dp&lt;/item&gt;
        &lt;item name=""android:popupBackground""&gt;@drawable/new_bg&lt;/item&gt;
        &lt;item name=""android:dropDownHeight""&gt;70dp&lt;/item&gt;
        &lt;item name=""android:scrollbarAlwaysDrawVerticalTrack""&gt;true&lt;/item&gt;
        &lt;item name=""android:dropDownSelector""&gt;@android:color/white&lt;/item&gt;
 &lt;/style&gt;
</code></pre>

<p>and the code of my spinner is :</p>

<pre><code>&lt;Spinner
            android:id=""@+id/pioedittxt5""
            android:layout_width=""543dp""
            android:layout_height=""63dp""
            android:layout_toRightOf=""@+id/piotxt5""
            android:background=""@drawable/spinner""
            style=""@style/spinner_style""
            android:dropDownVerticalOffset=""-53dp""
            android:spinnerMode=""dropdown""
            android:drawSelectorOnTop=""true""
            android:entries=""@array/travelreasons""
            android:prompt=""@string/prompt"" /&gt;
</code></pre>

<p>But nothing seems to be working.</p>",17213328,6,8,,2013-05-22T14:42:33.977Z,77,2020-04-05T05:41:42.770Z,2016-06-22T20:29:38.277Z,,1788806,,948041,,1,162,android|android-layout|android-spinner,436082
53233,0,android-layout,5872748,4,15233,8203606,Android: how to draw a border to a LinearLayout,"<p>I have three files. The XML, the draw function and the main Activity.
I have some <code>LinearLayout</code> in my XML file.</p>
<pre><code>&lt;LinearLayout android:orientation=&quot;horizontal&quot;
              android:layout_width=&quot;fill_parent&quot;
              android:layout_height=&quot;fill_parent&quot;
              android:layout_weight=&quot;1&quot;&gt;
    &lt;LinearLayout android:layout_width=&quot;fill_parent&quot;
                  android:layout_height=&quot;fill_parent&quot;
                  android:layout_weight=&quot;1&quot;
                  android:background=&quot;#ef3&quot;
                  android:id=&quot;@+id/img01&quot;/&gt;
    &lt;LinearLayout android:layout_width=&quot;fill_parent&quot;
                  android:layout_height=&quot;fill_parent&quot;
                  android:layout_weight=&quot;1&quot;
                  android:background=&quot;#E8A2B4&quot;
                  android:id=&quot;@+id/img02&quot;/&gt;
&lt;/LinearLayout&gt;
</code></pre>
<p>This is the draw function:</p>
<pre><code>public class getBorder extends TextView {
    public getBorder(Context context) {
        super(context);
    }

    @Override
    protected void onDraw(Canvas canvas) {
        super.onDraw(canvas);
        Paint paint = new Paint();

        paint.setColor(android.graphics.Color.RED);

        canvas.drawLine(0, 0, this.getWidth() - 1, 0, paint);
        canvas.drawLine(0, 0, 0, this.getHeight() - 1, paint);
        canvas.drawLine(this.getWidth() - 1, 0, this.getWidth() - 1,
            this.getHeight() - 1, paint);
        canvas.drawLine(0, this.getHeight() - 1, this.getWidth() - 1,
            this.getHeight() - 1, paint);
    }
}
</code></pre>
<p>And this is the main Activity:</p>
<pre><code>public void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);
    setContentView(R.layout.main);
    final getBorder getBorder = new getBorder(this);
    final LinearLayout img01 = (LinearLayout) findViewById(R.id.img01);
    img01.setOnClickListener(new View.OnClickListener() {
        @Override
        public void onClick(View v) {
            // TODO Auto-generated method stub
            getBorder.setWidth(100);
            getBorder.setHeight(100);
            img01.addView(getBorder);
        }
    });       
}
</code></pre>
<p>The program could draw border but the size doesn't fit the <code>LinearLayout</code>. And when I click the <code>LinearLayout</code> again, the program crashed.</p>
<p>Also, I want to draw two circles in the center of the <code>LinearLayout</code>, but how could I figure out the center coordinates?</p>",8203840,2,0,,2011-11-20T18:17:26.017Z,60,2020-07-15T01:24:29.633Z,2020-07-15T01:24:29.633Z,,741395,,741395,,1,210,android|android-layout|draw,395096
53233,0,android-layout,5872748,5,15233,28460300,How to build a horizontal ListView with RecyclerView,"<p>I need to implement a horizontal listview in my Android application. I did a bit of research and came across <em><a href=""https://stackoverflow.com/questions/3877040/how-can-i-make-a-horizontal-listview-in-android"">How can I make a horizontal ListView in Android?</a></em> and <em><a href=""https://stackoverflow.com/questions/3240331/horizontal-listview-in-android"">Horizontal ListView in Android?</a></em>. However, these questions were asked before Recyclerview was released. Is there a better way to implement this now with Recyclerview?</p>",28460399,14,3,,2015-02-11T17:11:26.140Z,90,2021-08-18T13:08:17.517Z,2021-07-07T17:37:28.310Z,,63550,,2912012,,1,379,android|android-layout|android-recyclerview,363775
53233,0,android-layout,5872748,6,15233,3591784,View's getWidth() and getHeight() returns 0,"<p>I am creating all of the elements in my android project dynamically. I am trying to get the width and height of a button so that I can rotate that button around. I am just trying to learn how to work with the android language. However, it returns 0. </p>

<p>I did some research and I saw that it needs to be done somewhere other than in the <code>onCreate()</code> method. If someone can give me an example of how to do it, that would be great. </p>

<p>Here is my current code:</p>

<pre><code>package com.animation;

import android.app.Activity;
import android.os.Bundle;
import android.view.animation.Animation;
import android.view.animation.LinearInterpolator;
import android.view.animation.RotateAnimation;
import android.widget.Button;
import android.widget.LinearLayout;

public class AnimateScreen extends Activity {


//Called when the activity is first created.
@Override
public void onCreate(Bundle savedInstanceState) {
    super.onCreate(savedInstanceState);

    LinearLayout ll = new LinearLayout(this);

    LinearLayout.LayoutParams layoutParams = new LinearLayout.LayoutParams(LinearLayout.LayoutParams.WRAP_CONTENT, LinearLayout.LayoutParams.WRAP_CONTENT);
    layoutParams.setMargins(30, 20, 30, 0);

    Button bt = new Button(this);
    bt.setText(String.valueOf(bt.getWidth()));

    RotateAnimation ra = new RotateAnimation(0,360,bt.getWidth() / 2,bt.getHeight() / 2);
    ra.setDuration(3000L);
    ra.setRepeatMode(Animation.RESTART);
    ra.setRepeatCount(Animation.INFINITE);
    ra.setInterpolator(new LinearInterpolator());

    bt.startAnimation(ra);

    ll.addView(bt,layoutParams);

    setContentView(ll);
}
</code></pre>

<p>Any help is appreciated.</p>",3594216,20,0,,2010-08-28T17:47:02.127Z,200,2021-08-12T11:25:38.497Z,2017-12-08T14:01:54.453Z,,774398,,160463,,1,568,java|android|android-layout|getter,362986
53233,0,android-layout,5872748,7,15233,3995825,What does android:layout_weight mean?,<p>I don't understand how to use this attribute. Can anyone tell me more about it?</p>,3996104,13,0,,2010-10-22T10:10:58.267Z,176,2021-02-22T10:11:41.980Z,2012-01-03T18:52:37.767Z,,26853,,473659,,1,668,android|android-layout|android-widget,361183
53233,0,android-layout,5872748,8,15233,17565307,How to display count of notifications in app launcher icon,"<p>samsung galaxy note 2 android version 4.1.2</p>

<p>I know that this question was asked before and the reply was not possible </p>

<blockquote>
  <p>How to display balloon counter over application launcher icon on
  android</p>
</blockquote>

<p>Nevertheless yesterday I updated the facebook app and it started to show a counter of unread messages private messages. How come facebook app can and I cant do so for my app?</p>

<p><img src=""https://i.stack.imgur.com/lWZWQ.png"" alt=""facebook icon""></p>

<p><img src=""https://i.stack.imgur.com/m5BJB.jpg"" alt=""enter image description here""></p>

<p>samsung galaxy note 2 android version 4.1.2 </p>",17565479,5,9,,2013-07-10T07:58:50.840Z,93,2017-06-01T12:50:31.017Z,2013-07-10T09:26:48.900Z,,1431096,,1431096,,1,200,android|android-layout|notifications|icons,346994
53233,0,android-layout,5872748,9,15233,14779688,Put buttons at bottom of screen with LinearLayout?,"<p>I have the following code, how do I make it so that the 3 buttons are at the bottom?</p>

<p></p>

<pre><code>    &lt;TextView
        android:id=""@+id/textView1""
        android:layout_width=""match_parent""
        android:layout_height=""wrap_content""
        android:layout_marginTop=""60dp""
        android:gravity=""center""
        android:text=""@string/observer""
        android:textAppearance=""?android:attr/textAppearanceLarge""
        tools:context="".asdf""
        android:weight=""1"" /&gt;

    &lt;LinearLayout
        android:layout_width=""match_parent""
        android:layout_height=""wrap_content""
        android:orientation=""vertical"" &gt;

        &lt;Button
            android:id=""@+id/button1""
            style=""?android:attr/buttonStyleSmall""
            android:layout_width=""145dp""
            android:layout_height=""wrap_content""
            android:layout_gravity=""center_horizontal|center""
            android:text=""1"" /&gt;

        &lt;Button
            android:id=""@+id/button2""
            style=""?android:attr/buttonStyleSmall""
            android:layout_width=""145dp""
            android:layout_height=""wrap_content""
            android:layout_gravity=""center_horizontal|center""
            android:text=""2"" /&gt;

        &lt;Button
            android:id=""@+id/button3""
            style=""?android:attr/buttonStyleSmall""
            android:layout_width=""145dp""
            android:layout_height=""wrap_content""
            android:layout_gravity=""center_horizontal|center""
            android:text=""3"" /&gt;
    &lt;/LinearLayout&gt;
</code></pre>

<p></p>",14779939,9,5,,2013-02-08T19:10:38.807Z,44,2018-07-14T13:18:32.437Z,2013-02-08T19:15:47.263Z,,1333975,,500401,,1,154,android|xml|android-layout|button|android-linearlayout,345422
53233,0,android-layout,5872748,10,15233,4182486,Placing/Overlapping(z-index) a view above another view in android,"<p>I have a linear layout which consists of imageview and textview , one below another in a linear layout.    </p>

<pre><code>&lt;LinearLayout android:orientation=""horizontal"" ... &gt;
 &lt;ImageView 
     android:id=""@+id/thumbnail""
     android:layout_weight=""0.8"" 
     android:layout_width=""0dip""
     android:layout_height=""fill_parent""&gt;
 &lt;/ImageView&gt;
 &lt;TextView 
    android:id=""@+id/description""
    android:layout_weight=""0.2""
    android:layout_width=""0dip""
    android:layout_height=""wrap_content""&gt;
 &lt;/TextView&gt;
</code></pre>

<p></p>

<p>Some rules might be missing , this is to give an idea , how layout looks.
I want another small text view of say 50dip in length and width , placed over the imageview, by ""over"" I meant z-index more than imageview , I want to place this , in the center and above(overlapping) the imageview.</p>

<p>I want to know how can we place one view above the other, with varying z-index (preferably in linear layout) ?</p>",4685019,11,0,,2010-11-15T08:03:43.147Z,62,2019-11-23T21:10:38.363Z,2017-07-24T08:03:07.447Z,,1000551,,207646,,1,246,android|android-layout|z-index,323178
